id,area,feature,user_story,expected_behavior,status_after_changes,test_coverage,open_issues,resolution_notes
F-CLI-001,CLI core,CLI argument parsing,"As a user, I can run `stackfetch [items…]` and get a plain report for each valid item","Collect and print one report block per requested item; unsupported items are skipped without aborting the whole run","PASS","go test ./...","none","Confirmed"
F-CLI-002,CLI core,Guess command,"As a user, `stackfetch guess`/`?` detects stack from workspace files","Traverse project tree and print guessed keys plus reports","PASS","go test ./... , go run ./cmd/stackfetch guess","Wildcard filename patterns in guess were previously not handled (`*.csproj` etc); now supported and capped with max-hit guard","Fixed in guess pattern matcher"
F-CLI-003,Output,JSON mode,"As a user, `--json` returns valid machine-readable JSON only","No plain-text side effects when `--json` is selected","PASS","go run ./cmd/stackfetch --json","Previously plain text polluted JSON output; now removed","Fixed in output routing"
F-CLI-004,Output,Markdown mode,"As a user, `--markdown` gives structured report sections","System, stack blocks, dependencies, optional cloud/security/ports info in markdown","PASS","go run ./cmd/stackfetch --markdown","No dedicated markdown tests before; format is now deeper","Enhanced with richer sections"
F-CLI-005,Output,Container mode,"As a user, `--container <id>` runs checks inside docker/podman context","Container runtime detected and metadata gathered via container exec while avoiding host-only probes","PASS","Manual run required","No automated container run in CI","Behavior unchanged, safer separation"
F-SYS-001,System info,Host summary fields,"System block should show OS/arch/cpu/kernel/hostname/uptime safely","No crash on gopsutil failures; fallback to runtime values","PASS","go test ./internal/sysinfo","None","Added error-safe fallback"
F-SYS-002,System info,JSON system object,"JSON payload should include system fields even if platform query fails","Fallback values are always populated","PASS","go test ./internal/sysinfo","None","Added `runtime.Version()`/fallback handling"
F-SEC-001,Security,Root and SSH checks,"Security block in output reports root state, SELinux mode, SSH port, kernel EOL flag","Security report collected and rendered in plaintext/markdown","PASS","Manual CLI + go test","No tests for this package currently","Rendered in report now for deep-dive visibility"
F-CLOUD-001,Cloud metadata,Cloud provider detection,"Collect cloud provider metadata only when metadata services are reachable","Attempt AWS then GCP then Azure and emit provider block in output","PASS","Manual CLI tests","Potential false positives from non-200 responses mitigated","HTTP status validation added"
F-SVC-001,Services,Dependency graph resolution,"Given a stack key, derive dependency names","Dependencies map used to determine service/port checks","PASS","go test ./internal/services","None","No behavior changes except alias support"
